target_id	length	eff_length	est_counts	tpm
ATCG00020.1	1062	843.407	3021	625.849
ATCG00040.1	1581	1362.41	25	3.20619
ATCG00050.1	240	60.9986	0	0
ATCG00065.1	114	12.6533	2	27.6173
ATCG00070.1	186	31.3848	22	122.479
ATCG00080.1	111	13.114	31	413.03
ATCG00120.1	1524	1305.41	26	3.48003
ATCG00130.1	555	337.15	19	9.8466
ATCG00140.1	246	64.8936	16	43.0799
ATCG00150.1	750	531.542	23	7.56043
ATCG00160.1	711	492.594	6	2.12823
ATCG00170.1	4131	3912.41	7	0.312615
ATCG00180.1	2043	1824.41	6	0.574626
ATCG00190.1	3219	3000.41	34	1.97995
ATCG00210.1	90	19.8889	8	70.2806
ATCG00220.1	105	14.1194	280	3464.96
ATCG00270.1	1062	843.407	143	29.6248
ATCG00280.1	1422	1203.41	120	17.4231
ATCG00300.1	189	32.8056	15	79.8913
ATCG00330.1	303	105.993	60	98.9075
ATCG00340.1	2205	1986.41	69	6.06928
ATCG00350.1	2253	2034.41	152	13.0545
ATCG00360.1	381	171.571	7	7.12871
ATCG00380.1	606	387.722	7	3.15452
ATCG00420.1	477	261.344	34	22.7312
ATCG00430.1	678	459.64	85	32.3115
ATCG00440.1	363	155.871	37	41.4757
ATCG00470.1	399	188.084	135	125.411
ATCG00480.1	1497	1278.41	198	27.0615
ATCG00490.1	1440	1221.41	485	69.3805
ATCG00500.1	1467	1248.41	15	2.09938
ATCG00510.1	114	12.6533	10	138.086
ATCG00520.1	555	337.15	10	5.18242
ATCG00530.1	690	471.594	32	11.856
ATCG00540.1	963	744.407	19	4.45963
ATCG00550.1	123	12.6845	27	371.916
ATCG00560.1	117	12.3756	6	84.711
ATCG00570.1	120	12.3255	4	56.7038
ATCG00580.1	252	68.7449	24	60.9996
ATCG00590.1	96	17.0333	2	20.5157
ATCG00600.1	114	12.6533	1	13.8086
ATCG00630.1	135	14.1472	237	2927.07
ATCG00640.1	201	38.7391	7	31.5722
ATCG00650.1	306	108.348	8	12.901
ATCG00660.1	354	147.915	5	5.90627
ATCG00670.1	591	372.76	36	16.8744
ATCG00680.1	1527	1308.41	101	13.4876
ATCG00690.1	102	14.902	8	93.7999
ATCG00700.1	132	13.6941	13	165.869
ATCG00710.1	222	50.381	13	45.0851
ATCG00720.1	648	429.64	35	14.2338
ATCG00730.1	483	267.158	22	14.3884
ATCG00740.1	990	771.407	16	3.62404
ATCG00750.1	417	204.571	7	5.97875
ATCG00760.1	114	12.6533	4	55.2346
ATCG00770.1	405	193.282	19	17.1759
ATCG00780.1	369	161.075	35	37.966
ATCG00790.1	408	196.103	61	54.3503
ATCG00800.1	657	438.64	72	28.6801
ATCG00810.1	483	267.158	18	11.7723
ATCG00820.1	279	87.6703	22	43.8456
ATCG00830.1	825	606.542	53.5	15.4116
ATCG00840.1	282	89.7634	4	7.78604
ATCG00860.1	6885	6666.41	7.5	0.196574
ATCG00870.1	234	57.1798	0.5	1.52786
