target_id	length	eff_length	est_counts	tpm
ATCG00020.1	1062	884.238	10925	1102.79
ATCG00040.1	1581	1403.24	294	18.7006
ATCG00050.1	240	80.2672	9	10.0079
ATCG00065.1	114	13.8421	52	335.306
ATCG00070.1	186	43.4304	72	147.971
ATCG00080.1	111	13.1363	98	665.876
ATCG00120.1	1524	1346.24	904	59.9357
ATCG00130.1	555	377.538	536	126.719
ATCG00140.1	246	84.9476	304	319.42
ATCG00150.1	750	572.282	256	39.9272
ATCG00160.1	711	533.282	46	7.69911
ATCG00170.1	4131	3953.24	137	3.09319
ATCG00180.1	2043	1865.24	143	6.84291
ATCG00190.1	3219	3041.24	113	3.3164
ATCG00210.1	90	12.8452	39	270.995
ATCG00220.1	105	12.5294	37	263.579
ATCG00270.1	1062	884.238	1123	113.357
ATCG00280.1	1422	1244.24	1744	125.107
ATCG00300.1	189	45.197	148	292.275
ATCG00330.1	303	132.53	451	303.739
ATCG00340.1	2205	2027.24	2586	113.858
ATCG00350.1	2253	2075.24	2492	107.181
ATCG00360.1	381	205.751	153	66.3726
ATCG00380.1	606	428.388	106	22.0855
ATCG00420.1	477	299.969	81	24.1017
ATCG00430.1	678	500.319	105	18.7319
ATCG00440.1	363	188.453	69	32.6803
ATCG00470.1	399	223.183	246	98.3815
ATCG00480.1	1497	1319.24	802	54.2613
ATCG00490.1	1440	1262.24	9433.99	667.104
ATCG00500.1	1467	1289.24	90	6.23087
ATCG00510.1	114	13.8421	69	444.926
ATCG00520.1	555	377.538	233	55.0851
ATCG00530.1	690	512.282	242	42.1644
ATCG00540.1	963	785.238	353	40.1248
ATCG00550.1	123	15.5229	229	1316.74
ATCG00560.1	117	14.204	88	552.984
ATCG00570.1	120	14.9976	51	303.52
ATCG00580.1	252	89.4813	199	198.5
ATCG00590.1	96	11.9142	17	127.357
ATCG00600.1	114	13.8421	31	199.894
ATCG00630.1	135	19.1912	165	767.399
ATCG00640.1	201	52.7374	33	55.8515
ATCG00650.1	306	135.316	45	29.6826
ATCG00660.1	354	179.96	48	23.807
ATCG00670.1	591	413.45	332	71.6727
ATCG00680.1	1527	1349.24	1957	129.462
ATCG00690.1	102	12.0235	107	794.312
ATCG00700.1	132	18.1818	84	412.365
ATCG00710.1	222	66.9194	278	370.793
ATCG00720.1	648	470.356	642	121.828
ATCG00730.1	483	305.902	363	105.916
ATCG00740.1	990	812.238	144	15.8241
ATCG00750.1	417	240.823	102	37.8044
ATCG00760.1	114	13.8421	46	296.617
ATCG00770.1	405	229.049	124	48.3207
ATCG00780.1	369	194.155	200	91.9436
