target_id	length	eff_length	est_counts	tpm
ATCG00020.1	1062	852.789	990	235.728
ATCG00040.1	1581	1371.79	10	1.48023
ATCG00050.1	240	64.8793	0	0
ATCG00065.1	114	12.4458	2	32.6305
ATCG00070.1	186	33.8376	16	96.0145
ATCG00080.1	111	12.1895	25	416.459
ATCG00120.1	1524	1314.79	32	4.9421
ATCG00130.1	555	346.637	12	7.02948
ATCG00140.1	246	68.7268	11	32.5
ATCG00150.1	750	540.845	18	6.75797
ATCG00160.1	711	501.845	4	1.61848
ATCG00170.1	4131	3921.79	3	0.15533
ATCG00180.1	2043	1833.79	8	0.885845
ATCG00190.1	3219	3009.79	30	2.02396
ATCG00210.1	90	19.64	8	82.7114
ATCG00220.1	105	12.6881	501	8017.87
ATCG00270.1	1062	852.789	171	40.7166
ATCG00280.1	1422	1212.79	133	22.2681
ATCG00300.1	189	35.091	5	28.9329
ATCG00330.1	303	111.989	18	32.6373
ATCG00340.1	2205	1995.79	58	5.90107
ATCG00350.1	2253	2043.79	146	14.5055
ATCG00360.1	381	179.496	4	4.52504
ATCG00380.1	606	397.153	4	2.04512
ATCG00420.1	477	270.391	35	26.2841
ATCG00430.1	678	468.845	76	32.9155
ATCG00440.1	363	163.332	25	31.0804
ATCG00470.1	399	195.968	100	103.617
ATCG00480.1	1497	1287.79	216	34.0586
ATCG00490.1	1440	1230.79	344.974	56.9141
ATCG00500.1	1467	1257.79	1	0.161439
ATCG00510.1	114	12.4458	4	65.2609
ATCG00520.1	555	346.637	7	4.10053
ATCG00530.1	690	480.845	24	10.135
ATCG00540.1	963	753.789	11	2.96319
ATCG00550.1	123	13.1649	22	339.33
ATCG00560.1	117	12.6766	4	64.073
ATCG00570.1	120	12.8688	1	15.779
ATCG00580.1	252	72.8799	6	16.7171
ATCG00590.1	96	16.3721	0	0
ATCG00600.1	114	12.4458	3	48.9457
ATCG00630.1	135	15.7951	89	1144.16
ATCG00640.1	201	41.2197	6	29.5572
ATCG00650.1	306	114.5	8	14.1873
ATCG00660.1	354	155.448	5	6.53133
ATCG00670.1	591	382.308	28	14.8717
ATCG00680.1	1527	1317.79	92	14.1762
ATCG00690.1	102	12.9048	6	94.4101
ATCG00700.1	132	15.0876	8	107.668
ATCG00710.1	222	53.485	7	26.5756
ATCG00720.1	648	439.068	31	14.3366
ATCG00730.1	483	276.226	20	14.7022
ATCG00740.1	990	780.789	27	7.02178
ATCG00750.1	417	213.057	10	9.53061
ATCG00760.1	114	12.4458	14	228.413
ATCG00770.1	405	201.543	19	19.1427
ATCG00780.1	369	168.591	61	73.4705
ATCG00790.1	408	204.46	119	118.183
ATCG00800.1	657	447.891	82	37.1757
ATCG00810.1	483	276.226	35	25.7289
ATCG00820.1	279	93.1208	28	61.056
ATCG00830.1	825	615.789	68.5	22.5879
ATCG00840.1	282	95.2785	8.5	18.1151
ATCG00860.1	6885	6675.79	5.5	0.167293
ATCG00870.1	234	60.8731	0	0
